Hotel,Locality,Downtown(km),Rating,Price(₹),Link
The Pinky Villa - Heritage Boutique Suites,"Paharganj, New Delhi (Chandni Chowk)",Downtown,7.7,1088,https://www.booking.com/hotel/in/pinky-villa.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=31&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=473065601_202942459_2_0_0&highlighted_blocks=473065601_202942459_2_0_0&matching_block_id=473065601_202942459_2_0_0&sr_pri_blocks=473065601_202942459_2_0_0__108766&from=searchresults
Hotel Grand Tej Palace,New Delhi,5.8 km from downtown,7.7,1044,https://www.booking.com/hotel/in/loha-new-delhi19.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=32&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1410059202_412768225_2_0_0_922805&highlighted_blocks=1410059202_412768225_2_0_0_922805&matching_block_id=1410059202_412768225_2_0_0_922805&sr_pri_blocks=1410059202_412768225_2_0_0_922805_104364&from=searchresults
Hotel Zebra,"Aerocity, New Delhi (Aerocity)",10.9 km from downtown,7.7,1709,https://www.booking.com/hotel/in/zebra-new-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=33&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1408383301_412614755_2_1_0&highlighted_blocks=1408383301_412614755_2_1_0&matching_block_id=1408383301_412614755_2_1_0&sr_pri_blocks=1408383301_412614755_2_1_0__170910&from=searchresults
Hotel Krone A Family Hotel Near IGI Airport,New Delhi,11.9 km from downtown,7.7,1188,https://www.booking.com/hotel/in/zion-plus-new-delhi3.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=34&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1409350802_412712937_2_1_0&highlighted_blocks=1409350802_412712937_2_1_0&matching_block_id=1409350802_412712937_2_1_0&sr_pri_blocks=1409350802_412712937_2_1_0__118800&from=searchresults
Avatar Living @Safdarjung Enclave,"Safdarjung Enclave, New Delhi",7.2 km from downtown,8.5,2865,https://www.booking.com/hotel/in/avatar-living-safdarjung-enclave.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=35&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=850369602_352217680_2_40_0&highlighted_blocks=850369602_352217680_2_40_0&matching_block_id=850369602_352217680_2_40_0&sr_pri_blocks=850369602_352217680_2_40_0__286451&from=searchresults
Hotel Star,"Chanakyapuri, New Delhi",5.8 km from downtown,8.5,635,https://www.booking.com/hotel/in/star-new-delhi3.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=36&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1409222801_412700166_2_1_0&highlighted_blocks=1409222801_412700166_2_1_0&matching_block_id=1409222801_412700166_2_1_0&sr_pri_blocks=1409222801_412700166_2_1_0__63500&from=searchresults
Hotel D Tark Plaza,New Delhi,5.8 km from downtown,8.5,1000,https://www.booking.com/hotel/in/d-tark.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=37&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1410071802_412769597_2_0_0_923460&highlighted_blocks=1410071802_412769597_2_0_0_923460&matching_block_id=1410071802_412769597_2_0_0_923460&sr_pri_blocks=1410071802_412769597_2_0_0_923460_99960&from=searchresults
Bloomrooms @ Link Road,New Delhi,3.5 km from downtown,8.1,4050,https://www.booking.com/hotel/in/bloomrooms.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=38&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=42169401_397121305_0_2_0_33314&highlighted_blocks=42169401_397121305_0_2_0_33314&matching_block_id=42169401_397121305_0_2_0_33314&sr_pri_blocks=42169401_397121305_0_2_0_33314_405000&from=searchresults
FabHotel V Inn,New Delhi,8.3 km from downtown,8.1,2102,https://www.booking.com/hotel/in/fabhotel-v-inn-new-delhi.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=39&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1406397201_412541403_2_0_0&highlighted_blocks=1406397201_412541403_2_0_0&matching_block_id=1406397201_412541403_2_0_0&sr_pri_blocks=1406397201_412541403_2_0_0__210210&from=searchresults
FabHotel M International,"East Delhi, New Delhi",2.8 km from downtown,8.1,2102,https://www.booking.com/hotel/in/fabhotel-m-international.html?aid=355028&ucfs=1&arphpl=1&checkin=2025-05-08&checkout=2025-05-09&dest_id=-2106102&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=40&sr_order=popularity&srpvid=d8212f34b8f70c05&srepoch=1746600174&all_sr_blocks=1406575701_412601070_2_0_0&highlighted_blocks=1406575701_412601070_2_0_0&matching_block_id=1406575701_412601070_2_0_0&sr_pri_blocks=1406575701_412601070_2_0_0__210210&from=searchresults
